# Supplementary Table 7 of the Montoro et al paper
# (doi:10.1038/s41586-018-0393-7)
Cldn10,Lgals3,Ube2b,Scgb3a1
Rpl41,Upk3bl,Hsp90ab1,Scgb3a2
Rgs2,Anxa1,Efemp1,Scgb1a1
Eif3f,S100a6,Tagln2,Bpifb1
Aldh6a1,Serpinb2,Upk1b,Mgst1
Rps11,Krt4,Tgif1,Chad
Rpl18a,Tppp3,Calm1,Aldh3a1
Id1,Crip1,Hmgn1,Muc5b
Rpl37,Ecm1,Ywhaq,Sftpa1
Malat1,Plac8,Map1lc3a,Pon1
Lgals9,S100a11,Anxa5,Muc1
Rpsa,Anxa2,Anxa8,AU021092
Id3,Krt7,Vsnl1,Pigr
Slc25a5,Ly6g6c,Phlda1,Cyp4a12b
Prdx6,Krt15,Ezr,Cd63
Cox4i1,Tmsb4x,Avpi1,Trf
Wfdc2,Upk1b,Cotl1,Adh7
Atp1b1,Cav1,Phlda3,Agr2
Rplp1,Gsta4,Npm1,Bpifa1
Pgrmc1,S100a10,Tnfrsf12a,Pglyrp1
Aqp4,Aqp5,S100a14,Msln
Reg3g,Krt13,Igfbp3,Aqp5
Acaa1b,S100g,S100a11,Selenbp1
Tmem176b,Tacstd2,Adrb2,Epas1
Rpl35a,Fth1,Eef2,Tst
Slc15a2,2200002D01Rik,Ccnd2,Foxj1
Rpl37a,Cd9,Calm2,Ezr
Rasl11a,Aqp3,Crip1,Mapk15
Gsta3,Clca3b,Atp5b,Cdh26
Gdpd2,Krt19,Eif4a1,Atp1a1
Rps24,Cav2,Hspb8,Adam8
Vamp8,Calml3,Tpm1,Cdkn1a
Ifi27,Mal,Sparc,Ubc
Rpl23,Gsto1,Cdc42ep3,Txnip
Gadd45b,Pdlim1,Emp1,AU040972
Sult1d1,Capg,Hspa8,Ifitm1
Atp6v1c2,Spint2,Sh3bgrl3,Cdhr4
Bsg,S100a14,Ecm1,Cdhr3
Tgm2,Adh7,Arpc2,BC048546
Gadd45g,Cldn3,Serpinb5,Lgals3bp
Igfbp7,Cldn23,Cdkn1a,Cyp2s1
Abi3bp,Anxa3,Pfn1,Itm2b
Rpl32,Pmp22,Tacstd2,Igfbp5
Mettl7a1,Pmm1,Cav2,Tmem212
Tmem176a,Ly6a,Jund,Prdx5
Eef1g,Mgst3,Cfl1,Plet1
Oat,Eif1,Fxyd3,Fth1
Rpl26,Ndufa4,Dynll1,Aoc1
Ifitm3,Crip2,Lmna,Pltp
Bcam,Pfn1,Cnbp,Calm2
Gstm1,Pdzk1ip1,Klf6,Gm8579
Dcxr,Nbl1,Pabpc1,Gde1
Crlf1,Igfbp5,Tppp3,Ckb
Rplp0,Fxyd3,Klf4,Gstm1
Dcn,1810037I17Rik,Hspa1a,Ldlrad1
Rps15,Itm2b,Krt7,Fkbp1a
Dapl1,St3gal4,Cav1,S100a11
Rps4x,Clic1,Igfbp7,Nenf
Trf,Clic3,Eif5a,Ptma
Eef1a1,Perp,Anxa1,Ubb
Rps3a1,Arpc2,Lgals3,Tmem158
Hpgd,Cdc42ep3,Anxa2,Slc25a5
Rps8,Vamp8,S100a6,Rabl2
Cyp2f2,Socs2,Myl12a,Comt
Rps2,Cd44,Gsn,Ly6c1
Rps3,H3f3a,Krt17,Pcp4l1
Rpl8,Cldn7,S100a10,Ftl1
Apoe,Ahnak,Upk3bl,Ly6a
Rpl13,Sub1,Tmsb4x,Dad1
Gstm2,Tspan8,Hspb1,Ech1
Rps9,Klf6,Eif1,Tagln2
Rpl14,Ly6d,Cd9,Hspa8
Rps5,Emp1,Perp,Mrps6
Rps18,Anxa5,Krt5,Oaz1
Rps14,S100a16,Ptma,Klf6
Rpl13a,Rtn4,Krt15,Tppp3
Rps19,Prdx5,Rps2,Tuba1a
Eef2,Cd24a,Sfn,Ccdc153
Eya2,Sh3bgrl3,Rplp0,Dynlrb2
Krt18,Lmo7,Aqp3,1700007K13Rik
Tiparp,Malat1,Actb,Rsph1
Frat2,Neat1,Baiap2,Elof1
Irf1,Cyb5a,Chchd2,1110017D15Rik
Dusp5,Epcam,Srsf3,Fam183b
Egr2,Cmpk1,Gnb2l1,1700016K19Rik
Errfi1,Nedd8,Nbl1,Mlf1
Osgin1,Esd,Lmo4,Riiad1
Marcksl1,Myl12a,Ctsl,Cfap126
Ddit4,Ralbp1,Maff,Chchd10
Hbegf,Sat1,Ptn,Cd24a
Gpx1,Pls3,Hbegf,Calm1
Map1lc3b,Ypel3,Rps26,Dmkn
Zfp36,Emp2,Hsp90aa1,Nudc
Timp3,Ces1h,Klf5,Tctex1d4
8430408G22Rik,Ttc36,Ubc,Dynll1
Egr1,Ezr,Dnajb1,Fbxo36
Nr4a1,Krt8,Csrp1,Nme5
Csrp1,Ebp,Rpl4,Lrrc51
Icam1,Cstb,Apoe,Sntn
Mt1,Gabarap,Klf9,Ift43
Btg2,Tmbim1,Atp1a1,Crip2
Cyr61,Rab25,Hcar2,Hsp90aa1
H3f3b,Capns1,Sertad1,Tm4sf1
Tsc22d1,Capzb,Mt1,Tmem107
mt−Nd1,Hdgf,Wsb1,Tubb4b
Fosb,Cox6b1,Hmgb2,1700088E04Rik
Ubc,Dusp1,Dusp2,Pifo
Socs3,AU040972,Nr4a1,1700026L06Rik
Ier2,Jund,Zfp36l1,3300002A11Rik
Cebpb,Lmo4,Socs3,Vpreb3
F3,Gprc5a,Dusp6,Meig1
Rpl4,Trp53inp2,Gclm,Capsl
Dnajb1,Tuba1a,Cebpb,4933434E20Rik
Junb,Arpc3,Dcn,Dpcd
Jun,Shfm1,Egr1,Rsph9
Atf3,Gnai2,Ifitm3,Chchd6
Ubb,Hes1,Btg2,1700001C02Rik
Fos,Mall,Eif3f,Erich2
Ftl1,Taldo1,Zfp36,Tuba1b
mt−Nd4,Sri,Zfp296,2410004P03Rik
Fkbp1a,Muc4,Glul,1810037I17Rik
Gsn,Tpm1,Ddx5,Ccdc113
Sparc,Sf3b6,Sdc1,Arhgdig
Sertad3,Gltp,Rpl34,Spa17
Adrb2,Tceb2,Map1lc3b,Tekt1
Ifrd1,Klf5,Bcam,1110004E09Rik
Krt5,Sdcbp,Rpl35a,Smim5
Klf5,Hmgn1,Krt19,Prr29
Plaur,Arf5,Ier2,Aldh3b1
Zfand5,Dynlrb1,Rps10,Gm867
Hsp90ab1,Alcam,mt−Cytb,Cystm1
Maff,1110007C09Rik,Cyr61,Hdc
Cfl1,Ywhah,Ldha,Swi5
Tpm1,Chmp4b,Naca,BC051019
Ptma,Cdkn1a,Icam1,Odf3b
Dynll1,Ppap2c,Rpl29,Stmnd1
Elf3,Cldn4,Rpl23,Ccdc181
Actb,Gnb2,Rplp1,Hint1
Calm1,Kctd14,Marcksl1,Hsp90ab1
Hsp90aa1,Adss,Atf3,Crip1
Scgb3a2,Hebp2,Rps24,Eif1
Lmna,Foxq1,Dusp1,Fam92b
Hspb1,Vdac1,Jun,Chchd2
